Cursor - Undead, https://soundcloud.com/hybridtrapmusic/undead?in=spltpersonalty/sets/song-of-das-week-vol-2, Hybrid Trap �
PROPANE, https://soundcloud.com/eptic/propane?in=spltpersonalty/sets/song-of-das-week-vol-2, EPTIC
Minesweepa & Tasha Baxter - Faces (Tucker Kreway Remix), https://soundcloud.com/tuckerkreway/facesremix?in=spltpersonalty/sets/song-of-das-week-vol-2, Tucker Kreway
Bandlez & Barely Alive - Meme Graveyard, https://soundcloud.com/bandlez/memegraveyard?in=spltpersonalty/sets/song-of-das-week-vol-2, Bandlez
DansDemand - Need Your Love (Sharks Remix), https://soundcloud.com/sharksgd/dansdemand-need-your-love-sharks-remix?in=spltpersonalty/sets/song-of-das-week-vol-2, Sharks
Graphyt X PIERCE - Frequency Shifter, https://soundcloud.com/graphytdubstep/graphyt-x-pierce-frequency-shifter?in=spltpersonalty/sets/song-of-das-week-vol-2, Graphyt
Disciple - We Don't Play, https://soundcloud.com/disciple/wedontplay?in=spltpersonalty/sets/song-of-das-week-vol-2, Disciple ♛ ♜ ♞
L.U.X - Soul, https://soundcloud.com/elizraofficial/lux-soul?in=spltpersonalty/sets/song-of-das-week-vol-2, Elizra
EXCLUSION - Opus Insania, https://soundcloud.com/exclusionofficial/exclusion-opus-insania?in=spltpersonalty/sets/song-of-das-week-vol-2, EXCLUSION
Elizra - Runaway, https://soundcloud.com/elizraofficial/elizra-runaway?in=spltpersonalty/sets/song-of-das-week-vol-2, Elizra
MVRDA - Cockney Cartel, https://soundcloud.com/discipleroundtable/cockneycartel?in=spltpersonalty/sets/song-of-das-week-vol-2, Disciple Round Table
Samplifire - Invasion [Free Download], https://soundcloud.com/samplifire/samplifire-invasion?in=spltpersonalty/sets/song-of-das-week-vol-2, Samplifire
SVDDEN DEATH & SOMNIUM SOUND - LOSING IT EDIT, https://soundcloud.com/svddendeath/fisher-losing-it-svdden-death-and-somnium-sound-remix?in=spltpersonalty/sets/song-of-das-week-vol-2, SVDDEN DEATH

PEEKABOO - SMACK (SUBJECT 31 REMIX), https://soundcloud.com/subject31/peekaboo-smack-subject-31-rmx?in=spltpersonalty/sets/song-of-das-week-vol-2, Subject 31
SAAS - It's Scary Out There, https://soundcloud.com/solacefamily/saas-its-scary-out-there?in=spltpersonalty/sets/song-of-das-week-vol-2, SOLACE 패밀리 FAMILY
Mport & Stoic - Wonke, https://soundcloud.com/wubaholics/mport-stoic-wonke-1?in=spltpersonalty/sets/song-of-das-week-vol-2, Wubaholics
